stress,strain
-0.004667,-0.000010
-0.009333,-0.000020
-0.014000,-0.000030
-0.018667,-0.000040
-0.023333,-0.000050
-0.028000,-0.000060
-0.032667,-0.000070
-0.037333,-0.000080
-0.042000,-0.000090
-0.046667,-0.000100
-0.051333,-0.000110
-0.056000,-0.000120
-0.060667,-0.000130
-0.065333,-0.000140
-0.070000,-0.000150
-0.074667,-0.000160
-0.079333,-0.000170
-0.084000,-0.000180
-0.088667,-0.000190
-0.093333,-0.000200
-0.098000,-0.000210
-0.102667,-0.000220
-0.107333,-0.000230
-0.112000,-0.000240
-0.116667,-0.000250
-0.121333,-0.000260
-0.126000,-0.000270
-0.130667,-0.000280
-0.135333,-0.000290
-0.140000,-0.000300
-0.144667,-0.000310
-0.149333,-0.000320
-0.154000,-0.000330
-0.158667,-0.000340
-0.163333,-0.000350
-0.168000,-0.000360
-0.172667,-0.000370
-0.177333,-0.000380
-0.182000,-0.000390
-0.186667,-0.000400
-0.191333,-0.000410
-0.196000,-0.000420
-0.200667,-0.000430
-0.205333,-0.000440
-0.210000,-0.000450
-0.214667,-0.000460
-0.219333,-0.000470
-0.224000,-0.000480
-0.228667,-0.000490
-0.233333,-0.000500
-0.238000,-0.000510
-0.242667,-0.000520
-0.247333,-0.000530
-0.252000,-0.000540
-0.256667,-0.000550
-0.261333,-0.000560
-0.266000,-0.000570
-0.270667,-0.000580
-0.275333,-0.000590
-0.280000,-0.000600
-0.284667,-0.000610
-0.289333,-0.000620
-0.294000,-0.000630
-0.298667,-0.000640
-0.303333,-0.000650
-0.308000,-0.000660
-0.312667,-0.000670
-0.317333,-0.000680
-0.322000,-0.000690
-0.326667,-0.000700
-0.331333,-0.000710
-0.336000,-0.000720
-0.340667,-0.000730
-0.345333,-0.000740
-0.350000,-0.000750
-0.354667,-0.000760
-0.359333,-0.000770
-0.364000,-0.000780
-0.368667,-0.000790
-0.373333,-0.000800
-0.378000,-0.000810
-0.382667,-0.000820
-0.387333,-0.000830
-0.392000,-0.000840
-0.396667,-0.000850
-0.401333,-0.000860
-0.406000,-0.000870
-0.410667,-0.000880
-0.415333,-0.000890
-0.420000,-0.000900
-0.424667,-0.000910
-0.429333,-0.000920
-0.434000,-0.000930
-0.438667,-0.000940
-0.443333,-0.000950
-0.448000,-0.000960
-0.452667,-0.000970
-0.457333,-0.000980
-0.462000,-0.000990
-0.466667,-0.001000
-0.471333,-0.001010
-0.476000,-0.001020
-0.480667,-0.001030
-0.485333,-0.001040
-0.490000,-0.001050
-0.494667,-0.001060
-0.499333,-0.001070
-0.504000,-0.001080
-0.508667,-0.001090
-0.513333,-0.001100
-0.518000,-0.001110
-0.522667,-0.001120
-0.527333,-0.001130
-0.532000,-0.001140
-0.536667,-0.001150
-0.541333,-0.001160
-0.546000,-0.001170
-0.550667,-0.001180
-0.555333,-0.001190
-0.560000,-0.001200
-0.564667,-0.001210
-0.569333,-0.001220
-0.574000,-0.001230
-0.578667,-0.001240
-0.583333,-0.001250
-0.588000,-0.001260
-0.592667,-0.001270
-0.597333,-0.001280
-0.602000,-0.001290
-0.606667,-0.001300
-0.611333,-0.001310
-0.616000,-0.001320
-0.620667,-0.001330
-0.625333,-0.001340
-0.630000,-0.001350
-0.634667,-0.001360
-0.639333,-0.001370
-0.644000,-0.001380
-0.648667,-0.001390
-0.653333,-0.001400
-0.658000,-0.001410
-0.662667,-0.001420
-0.667333,-0.001430
-0.672000,-0.001440
-0.676667,-0.001450
-0.681333,-0.001460
-0.686000,-0.001470
-0.690667,-0.001480
-0.695333,-0.001490
-0.700000,-0.001500
-0.704667,-0.001510
-0.709333,-0.001520
-0.714000,-0.001530
-0.718667,-0.001540
-0.723333,-0.001550
-0.728000,-0.001560
-0.732667,-0.001570
-0.737333,-0.001580
-0.742000,-0.001590
-0.746667,-0.001600
-0.751333,-0.001610
-0.756000,-0.001620
-0.760667,-0.001630
-0.765333,-0.001640
-0.770000,-0.001650
-0.774667,-0.001660
-0.779333,-0.001670
-0.784000,-0.001680
-0.788667,-0.001690
-0.793333,-0.001700
-0.798000,-0.001710
-0.802667,-0.001720
-0.807333,-0.001730
-0.812000,-0.001740
-0.816667,-0.001750
-0.821333,-0.001760
-0.826000,-0.001770
-0.830667,-0.001780
-0.835333,-0.001790
-0.840000,-0.001800
-0.844667,-0.001810
-0.849333,-0.001820
-0.854000,-0.001830
-0.858667,-0.001840
-0.863333,-0.001850
-0.868000,-0.001860
-0.872667,-0.001870
-0.877333,-0.001880
-0.882000,-0.001890
-0.886667,-0.001900
-0.891333,-0.001910
-0.896000,-0.001920
-0.900667,-0.001930
-0.905333,-0.001940
-0.910000,-0.001950
-0.914667,-0.001960
-0.919333,-0.001970
-0.924000,-0.001980
-0.928667,-0.001990
-0.933333,-0.002000
-0.938000,-0.002010
-0.942667,-0.002020
-0.947333,-0.002030
-0.952000,-0.002040
-0.956667,-0.002050
-0.961333,-0.002060
-0.966000,-0.002070
-0.970667,-0.002080
-0.975333,-0.002090
-0.980000,-0.002100
-0.984667,-0.002110
-0.989333,-0.002120
-0.994000,-0.002130
-0.998667,-0.002140
-1.003333,-0.002150
-1.008000,-0.002160
-1.012667,-0.002170
-1.017333,-0.002180
-1.022000,-0.002190
-1.026667,-0.002200
-1.031333,-0.002210
-1.036000,-0.002220
-1.040667,-0.002230
-1.045333,-0.002240
-1.050000,-0.002250
-1.054667,-0.002260
-1.059333,-0.002270
-1.064000,-0.002280
-1.068667,-0.002290
-1.073333,-0.002300
-1.078000,-0.002310
-1.082667,-0.002320
-1.087333,-0.002330
-1.092000,-0.002340
-1.096667,-0.002350
-1.101333,-0.002360
-1.106000,-0.002370
-1.110667,-0.002380
-1.115333,-0.002390
-1.120000,-0.002400
-1.124667,-0.002410
-1.129333,-0.002420
-1.134000,-0.002430
-1.138667,-0.002440
-1.143333,-0.002450
-1.148000,-0.002460
-1.152667,-0.002470
-1.157333,-0.002480
-1.162000,-0.002490
-1.166667,-0.002500
-1.171333,-0.002510
-1.176000,-0.002520
-1.180667,-0.002530
-1.185333,-0.002540
-1.190000,-0.002550
-1.194667,-0.002560
-1.199333,-0.002570
-1.204000,-0.002580
-1.208667,-0.002590
-1.213333,-0.002600
-1.218000,-0.002610
-1.222667,-0.002620
-1.227333,-0.002630
-1.232000,-0.002640
-1.236667,-0.002650
-1.241333,-0.002660
-1.246000,-0.002670
-1.250667,-0.002680
-1.255333,-0.002690
-1.260000,-0.002700
-1.264667,-0.002710
-1.269333,-0.002720
-1.274000,-0.002730
-1.278667,-0.002740
-1.283333,-0.002750
-1.288000,-0.002760
-1.292667,-0.002770
-1.297333,-0.002780
-1.302000,-0.002790
-1.306667,-0.002800
-1.311333,-0.002810
-1.316000,-0.002820
-1.320667,-0.002830
-1.325333,-0.002840
-1.330000,-0.002850
-1.334667,-0.002860
-1.339333,-0.002870
-1.344000,-0.002880
-1.348667,-0.002890
-1.353333,-0.002900
-1.358000,-0.002910
-1.362667,-0.002920
-1.367333,-0.002930
-1.372000,-0.002940
-1.376667,-0.002950
-1.381333,-0.002960
-1.386000,-0.002970
-1.390667,-0.002980
-1.395333,-0.002990
-1.400000,-0.003000
-1.404667,-0.003010
-1.409333,-0.003020
-1.414000,-0.003030
-1.418667,-0.003040
-1.423333,-0.003050
-1.428000,-0.003060
-1.432667,-0.003070
-1.437333,-0.003080
-1.442000,-0.003090
-1.446667,-0.003100
-1.451333,-0.003110
-1.456000,-0.003120
-1.460667,-0.003130
-1.465333,-0.003140
-1.470000,-0.003150
-1.474667,-0.003160
-1.479333,-0.003170
-1.484000,-0.003180
-1.488667,-0.003190
-1.493333,-0.003200
-1.498000,-0.003210
-1.502667,-0.003220
-1.507333,-0.003230
-1.512000,-0.003240
-1.516667,-0.003250
-1.521333,-0.003260
-1.526000,-0.003270
-1.530667,-0.003280
-1.535333,-0.003290
-1.540000,-0.003300
-1.544667,-0.003310
-1.549333,-0.003320
-1.554000,-0.003330
-1.558667,-0.003340
-1.563333,-0.003350
-1.568000,-0.003360
-1.572667,-0.003370
-1.577333,-0.003380
-1.582000,-0.003390
-1.586667,-0.003400
-1.591333,-0.003410
-1.596000,-0.003420
-1.600667,-0.003430
-1.605333,-0.003440
-1.610000,-0.003450
-1.614667,-0.003460
-1.619333,-0.003470
-1.624000,-0.003480
-1.628667,-0.003490
-1.633333,-0.003500
-1.638000,-0.003510
-1.642667,-0.003520
-1.647333,-0.003530
-1.652000,-0.003540
-1.656667,-0.003550
-1.661333,-0.003560
-1.666000,-0.003570
-1.670667,-0.003580
-1.675333,-0.003590
-1.680000,-0.003600
-1.684667,-0.003610
-1.689333,-0.003620
-1.694000,-0.003630
-1.698667,-0.003640
-1.703333,-0.003650
-1.708000,-0.003660
-1.712667,-0.003670
-1.717333,-0.003680
-1.722000,-0.003690
-1.726667,-0.003700
-1.731333,-0.003710
-1.736000,-0.003720
-1.740667,-0.003730
-1.745333,-0.003740
-1.750000,-0.003750
-1.754667,-0.003760
-1.759333,-0.003770
-1.764000,-0.003780
-1.768667,-0.003790
-1.773333,-0.003800
-1.778000,-0.003810
-1.782667,-0.003820
-1.787333,-0.003830
-1.792000,-0.003840
-1.796667,-0.003850
-1.801333,-0.003860
-1.806000,-0.003870
-1.810667,-0.003880
-1.815333,-0.003890
-1.820000,-0.003900
-1.824667,-0.003910
-1.829333,-0.003920
-1.834000,-0.003930
-1.838667,-0.003940
-1.843333,-0.003950
-1.848000,-0.003960
-1.852667,-0.003970
-1.857333,-0.003980
-1.862000,-0.003990
-1.866667,-0.004000
-1.871333,-0.004010
-1.876000,-0.004020
-1.880667,-0.004030
-1.885333,-0.004040
-1.890000,-0.004050
-1.894667,-0.004060
-1.899333,-0.004070
-1.904000,-0.004080
-1.908667,-0.004090
-1.913333,-0.004100
-1.918000,-0.004110
-1.922667,-0.004120
-1.927333,-0.004130
-1.932000,-0.004140
-1.936667,-0.004150
-1.941333,-0.004160
-1.946000,-0.004170
-1.950667,-0.004180
-1.955333,-0.004190
-1.960000,-0.004200
-1.964667,-0.004210
-1.969333,-0.004220
-1.974000,-0.004230
-1.978667,-0.004240
-1.983333,-0.004250
-1.988000,-0.004260
-1.992667,-0.004270
-1.997333,-0.004280
-2.002000,-0.004290
-2.006667,-0.004300
-2.011333,-0.004310
-2.016000,-0.004320
-2.020667,-0.004330
-2.025333,-0.004340
-2.030000,-0.004350
-2.034667,-0.004360
-2.039333,-0.004370
-2.044000,-0.004380
-2.048667,-0.004390
-2.053333,-0.004400
-2.058000,-0.004410
-2.062667,-0.004420
-2.067333,-0.004430
-2.072000,-0.004440
-2.076667,-0.004450
-2.081333,-0.004460
-2.086000,-0.004470
-2.090667,-0.004480
-2.095333,-0.004490
-2.100000,-0.004500
-2.104667,-0.004510
-2.109333,-0.004520
-2.114000,-0.004530
-2.118667,-0.004540
-2.123333,-0.004550
-2.128000,-0.004560
-2.132667,-0.004570
-2.137333,-0.004580
-2.142000,-0.004590
-2.146667,-0.004600
-2.151333,-0.004610
-2.156000,-0.004620
-2.160667,-0.004630
-2.165333,-0.004640
-2.170000,-0.004650
-2.174667,-0.004660
-2.179333,-0.004670
-2.184000,-0.004680
-2.188667,-0.004690
-2.193333,-0.004700
-2.198000,-0.004710
-2.202667,-0.004720
-2.207333,-0.004730
-2.212000,-0.004740
-2.216667,-0.004750
-2.221333,-0.004760
-2.226000,-0.004770
-2.230667,-0.004780
-2.235333,-0.004790
-2.240000,-0.004800
-2.244667,-0.004810
-2.249333,-0.004820
-2.254000,-0.004830
-2.258667,-0.004840
-2.263333,-0.004850
-2.268000,-0.004860
-2.272667,-0.004870
-2.277333,-0.004880
-2.282000,-0.004890
-2.286667,-0.004900
-2.291333,-0.004910
-2.296000,-0.004920
-2.300667,-0.004930
-2.305333,-0.004940
-2.310000,-0.004950
-2.314667,-0.004960
-2.319333,-0.004970
-2.324000,-0.004980
-2.328667,-0.004990
-2.333333,-0.005000
-2.338000,-0.005010
-2.342667,-0.005020
-2.347333,-0.005030
-2.352000,-0.005040
-2.356667,-0.005050
-2.361333,-0.005060
-2.366000,-0.005070
-2.370667,-0.005080
-2.375333,-0.005090
-2.380000,-0.005100
-2.384667,-0.005110
-2.389333,-0.005120
-2.394000,-0.005130
-2.398667,-0.005140
-2.403333,-0.005150
-2.408000,-0.005160
-2.412667,-0.005170
-2.417333,-0.005180
-2.422000,-0.005190
-2.426667,-0.005200
-2.431333,-0.005210
-2.436000,-0.005220
-2.440667,-0.005230
-2.445333,-0.005240
