stress,strain
-0.00466667,-1e-05
-0.00933333,-2e-05
-0.014,-3e-05
-0.0186667,-4e-05
-0.0233333,-5e-05
-0.028,-6e-05
-0.0326667,-7e-05
-0.0373333,-8e-05
-0.042,-9e-05
-0.0466667,-0.0001
-0.0513333,-0.00011
-0.056,-0.00012
-0.0606667,-0.00013
-0.0653333,-0.00014
-0.07,-0.00015
-0.0746667,-0.00016
-0.0793333,-0.00017
-0.084,-0.00018
-0.0886667,-0.00019
-0.0933333,-0.0002
-0.098,-0.00021
-0.102667,-0.00022
-0.107333,-0.00023
-0.112,-0.00024
-0.116667,-0.00025
-0.121333,-0.00026
-0.126,-0.00027
-0.130667,-0.00028
-0.135333,-0.00029
-0.14,-0.0003
-0.144667,-0.00031
-0.149333,-0.00032
-0.154,-0.00033
-0.158667,-0.00034
-0.163333,-0.00035
-0.168,-0.00036
-0.172667,-0.00037
-0.177333,-0.00038
-0.182,-0.00039
-0.186667,-0.0004
-0.191333,-0.00041
-0.196,-0.00042
-0.200667,-0.00043
-0.205333,-0.00044
-0.21,-0.00045
-0.214667,-0.00046
-0.219333,-0.00047
-0.224,-0.00048
-0.228667,-0.00049
-0.233333,-0.0005
-0.238,-0.00051
-0.242667,-0.00052
-0.247333,-0.00053
-0.252,-0.00054
-0.256667,-0.00055
-0.261333,-0.00056
-0.266,-0.00057
-0.270667,-0.00058
-0.275333,-0.00059
-0.28,-0.0006
-0.284667,-0.00061
-0.289333,-0.00062
-0.294,-0.00063
-0.298667,-0.00064
-0.303333,-0.00065
-0.308,-0.00066
-0.312667,-0.00067
-0.317333,-0.00068
-0.322,-0.00069
-0.326667,-0.0007
-0.331333,-0.00071
-0.336,-0.00072
-0.340667,-0.00073
-0.345333,-0.00074
-0.35,-0.00075
-0.354667,-0.00076
-0.359333,-0.00077
-0.364,-0.00078
-0.368667,-0.00079
-0.373333,-0.0008
-0.378,-0.00081
-0.382667,-0.00082
-0.387333,-0.00083
-0.392,-0.00084
-0.396667,-0.00085
-0.401333,-0.00086
-0.406,-0.00087
-0.410667,-0.00088
-0.415333,-0.00089
-0.42,-0.0009
-0.424667,-0.00091
-0.429333,-0.00092
-0.434,-0.00093
-0.438667,-0.00094
-0.443333,-0.00095
-0.448,-0.00096
-0.452667,-0.00097
-0.457333,-0.00098
-0.462,-0.00099
-0.466667,-0.001
-0.471333,-0.00101
-0.476,-0.00102
-0.480667,-0.00103
-0.485333,-0.00104
-0.49,-0.00105
-0.494667,-0.00106
-0.499333,-0.00107
-0.504,-0.00108
-0.508667,-0.00109
-0.513333,-0.0011
-0.518,-0.00111
-0.522667,-0.00112
-0.527333,-0.00113
-0.532,-0.00114
-0.536667,-0.00115
-0.541333,-0.00116
-0.546,-0.00117
-0.550667,-0.00118
-0.555333,-0.00119
-0.56,-0.0012
-0.564667,-0.00121
-0.569333,-0.00122
-0.574,-0.00123
-0.578667,-0.00124
-0.583333,-0.00125
-0.588,-0.00126
-0.592667,-0.00127
-0.597333,-0.00128
-0.602,-0.00129
-0.606667,-0.0013
-0.611333,-0.00131
-0.616,-0.00132
-0.620667,-0.00133
-0.625333,-0.00134
-0.63,-0.00135
-0.634667,-0.00136
-0.639333,-0.00137
-0.644,-0.00138
-0.648667,-0.00139
-0.653333,-0.0014
-0.658,-0.00141
-0.662667,-0.00142
-0.667333,-0.00143
-0.672,-0.00144
-0.676667,-0.00145
-0.681333,-0.00146
-0.686,-0.00147
-0.690667,-0.00148
-0.695333,-0.00149
-0.7,-0.0015
-0.704667,-0.00151
-0.709333,-0.00152
-0.714,-0.00153
-0.718667,-0.00154
-0.723333,-0.00155
