node,w,gx,gy,gz
1893,1.8e-05,-9e-05,-0.00012,-0.00036
1894,0.0001665,-4.5e-05,-0.00111,-0.00333
1895,4.05e-05,0.000135,-0.00027,-0.00081
1908,0.000284,-0.00142,-0.00016,-0.00568
1909,0.002627,-0.00071,-0.00148,-0.05254
1910,0.000639,0.00213,-0.00036,-0.01278
1923,9.8e-05,-0.00049,0.00028,-0.00196
1924,0.0009065,-0.000245,0.00259,-0.01813
1925,0.0002205,0.000735,0.00063,-0.00441
2118,0.002124,-0.01062,-0.01416,-0.00288
2119,0.019647,-0.00531,-0.13098,-0.02664
2120,0.004779,0.01593,-0.03186,-0.00648
2133,0.033512,-0.16756,-0.01888,-0.04544
2134,0.309986,-0.08378,-0.17464,-0.42032
2135,0.075402,0.25134,-0.04248,-0.10224
2148,0.011564,-0.05782,0.03304,-0.01568
2149,0.106967,-0.02891,0.30562,-0.14504
2150,0.026019,0.08673,0.07434,-0.03528
2343,0.001458,-0.00729,-0.00972,0.00324
2344,0.0134865,-0.003645,-0.08991,0.02997
2345,0.0032805,0.010935,-0.02187,0.00729
2358,0.023004,-0.11502,-0.01296,0.05112
2359,0.212787,-0.05751,-0.11988,0.47286
2360,0.051759,0.17253,-0.02916,0.11502
2373,0.007938,-0.03969,0.02268,0.01764
2374,0.0734265,-0.019845,0.20979,0.16317
2375,0.0178605,0.059535,0.05103,0.03969
