Displacement_0,Displacement_1,Displacement_2,Time
0,0,0,0
-0.00025273,0.00036301,-0.006511,0.0974279
0.0013594,-0.00061216,-0.0029973,0.194856
0.0025524,-0.00063644,-0.0051879,0.292284
0.0039121,-0.00036705,-0.0047666,0.389711
0.0053667,0.00011869,-0.0029883,0.487139
0.0078627,0.00013039,-0.00536,0.584567
0.011646,-0.00053472,-0.0031351,0.681995
0.014823,-0.00040369,-0.0041523,0.779423
0.018477,-0.00016286,-0.0038564,0.876851
0.022509,0.00022907,-0.0039376,0.974279
0.028012,-0.00043034,-0.0056669,1.07171
0.033568,-0.00066582,-0.004439,1.16913
0.038703,-0.00029471,-0.0036454,1.26656
0.04458,0.00017123,-0.0044958,1.36399
0.051342,0.00029315,-0.002164,1.46142
0.059268,-0.00072274,-0.0068698,1.55885
0.066983,-0.0004868,-0.0022022,1.65627
0.074508,-0.00031656,-0.0073297,1.7537
0.082693,0.0003461,-0.001901,1.85113
0.091946,-0.00035549,-0.0063339,1.94856
0.10174,-0.00051993,-0.002693,2.04599
0.11173,-0.00040479,-0.0050991,2.14341
0.12158,0.00012965,-0.0037319,2.24084
0.13282,0.00016965,-0.0045447,2.33827
0.14433,-0.00075433,-0.0056899,2.4357
0.15628,-0.00017555,-0.0043295,2.53312
0.16771,-0.00071404,-0.0052633,2.63055
0.18037,0.00041375,-0.0028357,2.72798
0.194,-0.00049206,-0.0051853,2.82541
0.20815,-0.00039508,-0.0042025,2.92284
0.22204,9.1625e-05,-0.0059778,3.02026
0.23525,-0.00039198,-0.0040212,3.11769
0.24878,0.0001304,-0.0059908,3.21512
0.26182,-0.00078869,-0.0035177,3.31255
0.27443,-0.00057141,-0.0067154,3.40998
0.28633,0.00046178,-0.002027,3.5074
0.29768,-0.00047877,-0.0071211,3.60483
0.3093,0.00060877,-0.0026601,3.70226
0.31964,-0.0012268,-0.0082975,3.79969
0.32961,3.4444e-05,-0.0030923,3.89711
0.33891,-0.00053692,-0.0064907,3.99454
0.34789,0.00014244,-0.002791,4.09197
0.35778,-0.00047459,-0.0066089,4.1894
0.36561,3.4723e-05,-0.003655,4.28683
0.37387,-0.00049192,-0.0070353,4.38425
0.38015,0.00022536,-0.003564,4.48168
0.38743,-0.00052602,-0.0075581,4.57911
0.3941,-0.00069972,-0.0040476,4.67654
0.39972,-9.6406e-05,-0.0063841,4.77397
0.40556,-5.2805e-05,-0.0036939,4.87139
0.40987,0.00051041,-0.0056413,4.96882
0.41556,-0.00041001,-0.0054094,5.06625
0.41925,-0.0009059,-0.0064202,5.16368
0.42221,-0.00019823,-0.0054532,5.2611
0.42532,-0.00022303,-0.005691,5.35853
0.42818,-0.00029389,-0.005317,5.45596
0.43147,-2.7595e-05,-0.0055062,5.55339
0.43295,-0.00053128,-0.0058529,5.65082
0.43352,0.00069842,-0.0048173,5.74824
0.43459,-0.00030658,-0.0064934,5.84567
0.43452,-0.00074986,-0.0053469,5.9431
0.43521,-0.00044264,-0.0075766,6.04053
0.43416,-0.00064602,-0.0051855,6.13796
0.43325,0.00016814,-0.0063406,6.23538
0.43236,0.00021103,-0.0043784,6.33281
0.43068,-0.00054688,-0.0066378,6.43024
0.43116,0.00020618,-0.0050903,6.52767
0.43001,-0.00060292,-0.0071426,6.62509
0.43141,-0.0004274,-0.0052375,6.72252
0.43168,0.0001003,-0.0075069,6.81995
0.43427,-0.001037,-0.0053806,6.91738
0.4354,0.00038668,-0.0072139,7.01481
0.43773,-0.00035901,-0.0039834,7.11223
0.44005,0.00029681,-0.0070839,7.20966
0.44403,-0.0002069,-0.0046947,7.30709
0.4477,-0.00065027,-0.0082977,7.40452
0.45218,-0.00053842,-0.0060525,7.50195
0.45624,-0.0003077,-0.0073628,7.59937
0.46106,-0.0001861,-0.0051304,7.6968
0.46782,-2.6372e-05,-0.0066762,7.79423
0.47268,0.00024323,-0.0052449,7.89166
0.48108,-0.00024301,-0.0070513,7.98908
0.48633,-0.0001793,-0.0055153,8.08651
0.4943,-0.0003309,-0.0067813,8.18394
0.50172,-0.00058967,-0.0064331,8.28137
0.51033,-0.00035211,-0.0069011,8.3788
0.52,-0.00045598,-0.0062488,8.47622
0.52881,-0.00032293,-0.0061558,8.57365
0.53868,0.00060368,-0.0055998,8.67108
0.5488,-0.00019387,-0.0058874,8.76851
0.55953,-0.00029309,-0.0065,8.86594
0.57091,-0.00013949,-0.0058038,8.96336
0.5821,-0.0010032,-0.0072973,9.06079
0.59459,0.00027509,-0.0054721,9.15822
0.60748,-0.00052976,-0.0077554,9.25565
0.61943,-0.00023601,-0.0051003,9.35307
0.63291,-3.5374e-05,-0.0070176,9.4505
0.6443,-9.5804e-05,-0.0050854,9.54793
0.65583,-0.0003491,-0.0070971,9.64536
0.66687,0.0003192,-0.0057619,9.74279
0.67821,-0.00097548,-0.0073938,9.84021
0.68793,-0.00047104,-0.0060098,9.93764
