t	ax	ay	az
0.0	0.1	0.0	0.0
0.01	0.0999950000416665	0.0	0.0
0.02	0.0999800006666577	0.0	0.0
0.03	0.0999550033748987	0.0	0.0
0.04	0.0999200106660977	0.0	0.0
0.05	0.0998750260394966	0.0	0.0
0.06	0.0998200539935204	0.0	0.0
0.07	0.0997551000253279	0.0	0.0
0.08	0.0996801706302619	0.0	0.0
0.09	0.0995952733011994	0.0	0.0
0.1	0.0995004165278025	0.0	0.0
0.11	0.0993956097956696	0.0	0.0
0.12	0.0992808635853866	0.0	0.0
0.13	0.0991561893714788	0.0	0.0
0.14	0.0990215996212637	0.0	0.0
0.15	0.0988771077936042	0.0	0.0
0.16	0.0987227283375627	0.0	0.0
0.17	0.098558476690956	0.0	0.0
0.18	0.0983843692788121	0.0	0.0
0.19	0.098200423511727	0.0	0.0
0.2	0.0980066577841241	0.0	0.0
0.21	0.0978030914724148	0.0	0.0
0.22	0.0975897449330605	0.0	0.0
0.23	0.0973666395005374	0.0	0.0
0.24	0.0971337974852029	0.0	0.0
0.25	0.0968912421710644	0.0	0.0
0.26	0.0966389978134513	0.0	0.0
0.27	0.096377089636589	0.0	0.0
0.28	0.0961055438310771	0.0	0.0
0.29	0.0958243875512697	0.0	0.0
0.3	0.0955336489125606	0.0	0.0
0.31	0.0952333569885713	0.0	0.0
0.32	0.094923541808244	0.0	0.0
0.33	0.0946042343528387	0.0	0.0
0.34	0.0942754665528346	0.0	0.0
0.35	0.0939372712847378	0.0	0.0
0.36	0.0935896823677934	0.0	0.0
0.37	0.0932327345606034	0.0	0.0
0.38	0.092866463557651	0.0	0.0
0.39	0.0924909059857313	0.0	0.0
0.4	0.0921060994002885	0.0	0.0
0.41	0.0917120822816605	0.0	0.0
0.42	0.0913088940312308	0.0	0.0
0.43	0.0908965749674885	0.0	0.0
0.44	0.0904751663219963	0.0	0.0
0.45	0.0900447102352677	0.0	0.0
0.46	0.0896052497525525	0.0	0.0
0.47	0.0891568288195329	0.0	0.0
0.48	0.0886994922779284	0.0	0.0
0.49	0.0882332858610121	0.0	0.0
0.5	0.0877582561890372	0.0	0.0
0.51	0.0872744507645751	0.0	0.0
0.52	0.086781917967765	0.0	0.0
0.53	0.0862807070514761	0.0	0.0
0.54	0.0857708681363824	0.0	0.0
0.55	0.0852524522059505	0.0	0.0
0.56	0.0847255111013416	0.0	0.0
0.5700000000000001	0.0841900975162268	0.0	0.0
0.58	0.0836462649915187	0.0	0.0
0.59	0.0830940679100163	0.0	0.0
0.6	0.0825335614909678	0.0	0.0
0.61	0.0819648017845479	0.0	0.0
0.62	0.0813878456662534	0.0	0.0
0.63	0.0808027508312151	0.0	0.0
0.64	0.0802095757884292	0.0	0.0
0.65	0.0796083798549056	0.0	0.0
0.66	0.0789992231497365	0.0	0.0
0.67	0.0783821665880849	0.0	0.0
0.68	0.0777572718750927	0.0	0.0
0.6900000000000001	0.0771246014997106	0.0	0.0
0.7000000000000001	0.0764842187284488	0.0	0.0
0.71	0.0758361875990508	0.0	0.0
0.72	0.0751805729140895	0.0	0.0
0.73	0.074517440234487	0.0	0.0
0.74	0.0738468558729587	0.0	0.0
0.75	0.073168886887382	0.0	0.0
0.76	0.0724836010740905	0.0	0.0
0.77	0.0717910669610943	0.0	0.0
0.78	0.0710913538012277	0.0	0.0
0.79	0.0703845315652236	0.0	0.0
0.8	0.0696706709347165	0.0	0.0
0.81	0.0689498432951747	0.0	0.0
0.8200000000000001	0.0682221207287613	0.0	0.0
0.8300000000000001	0.0674875760071267	0.0	0.0
0.84	0.0667462825841308	0.0	0.0
0.85	0.0659983145884982	0.0	0.0
0.86	0.0652437468164052	0.0	0.0
0.87	0.0644826547240001	0.0	0.0
0.88	0.063715114419858	0.0	0.0
0.89	0.0629412026573696	0.0	0.0
0.9	0.0621609968270664	0.0	0.0
0.91	0.0613745749488811	0.0	0.0
0.92	0.0605820156643462	0.0	0.0
0.93	0.0597833982287298	0.0	0.0
0.94	0.0589788025031098	0.0	0.0
0.95	0.0581683089463883	0.0	0.0
0.96	0.0573519986072456	0.0	0.0
0.97	0.0565299531160354	0.0	0.0
0.98	0.0557022546766217	0.0	0.0
0.99	0.0548689860581587	0.0	0.0
1.0	0.0540302305868139	0.0	0.0
1.01	0.0531860721374355	0.0	0.0
1.02	0.0523365951251649	0.0	0.0
1.03	0.0514818844969955	0.0	0.0
1.04	0.0506220257232778	0.0	0.0
1.05	0.0497571047891726	0.0	0.0
1.06	0.0488872081860527	0.0	0.0
1.07	0.0480124229028534	0.0	0.0
1.08	0.047132836417374	0.0	0.0
1.09	0.04624853668753	0.0	0.0
1.1	0.0453596121425577	0.0	0.0
1.11	0.0444661516741706	0.0	0.0
1.12	0.0435682446276712	0.0	0.0
1.13	0.0426659807930157	0.0	0.0
1.14	0.0417594503958358	0.0	0.0
1.15	0.0408487440884157	0.0	0.0
1.16	0.0399339529406273	0.0	0.0
1.17	0.039015168430823	0.0	0.0
1.18	0.0380924824366881	0.0	0.0
1.19	0.0371659872260533	0.0	0.0
1.2	0.0362357754476673	0.0	0.0
1.21	0.035301940121933	0.0	0.0
1.22	0.0343645746316047	0.0	0.0
1.23	0.0334237727124502	0.0	0.0
1.24	0.0324796284438776	0.0	0.0
1.25	0.0315322362395268	0.0	0.0
1.26	0.0305816908378289	0.0	0.0
1.27	0.0296280872925318	0.0	0.0
1.28	0.0286715209631955	0.0	0.0
1.29	0.0277120875056557	0.0	0.0
1.3	0.0267498828624587	0.0	0.0
1.31	0.0257850032532669	0.0	0.0
1.32	0.0248175451652372	0.0	0.0
1.33	0.0238476053433723	0.0	0.0
1.34	0.0228752807808459	0.0	0.0
1.35	0.0219006687093041	0.0	0.0
1.36	0.0209238665891419	0.0	0.0
1.37	0.0199449720997572	0.0	0.0
1.38	0.0189640831297834	0.0	0.0
1.39	0.0179812977672999	0.0	0.0
1.4	0.016996714290024	0.0	0.0
1.41	0.0160104311554831	0.0	0.0
1.42	0.0150225469911685	0.0	0.0
1.43	0.0140331605846736	0.0	0.0
1.44	0.0130423708738145	0.0	0.0
1.45	0.0120502769367366	0.0	0.0
1.46	0.0110569779820069	0.0	0.0
1.47	0.0100625733386931	0.0	0.0
1.48	0.0090671624464309	0.0	0.0
1.49	0.00807084484548	0.0	0.0
1.5	0.0070737201667702	0.0	0.0
1.51	0.0060758881219385	0.0	0.0
1.52	0.0050774484933579	0.0	0.0
1.53	0.0040785011241591	0.0	0.0
1.54	0.0030791459082466	0.0	0.0
1.55	0.0020794827803092	0.0	0.0
1.56	0.0010796117058267	0.0	0.0
1.57	7.963267107332634e-05	0.0	0.0
1.58	-0.0009203543268808	0.0	0.0
1.59	-0.0019202492901692	0.0	0.0
1.6	-0.0029199522301288	0.0	0.0
1.61	-0.0039193631772987	0.0	0.0
1.62	-0.004918382191417	0.0	0.0
1.63	-0.0059169093714148	0.0	0.0
1.64	-0.0069148448654062	0.0	0.0
1.65	-0.0079120888806734	0.0	0.0
1.66	-0.0089085416936459	0.0	0.0
1.67	-0.0099041036598728	0.0	0.0
1.68	-0.0108986752239871	0.0	0.0
1.69	-0.0118921569296612	0.0	0.0
1.7	-0.0128844494295524	0.0	0.0
1.71	-0.0138754534952377	0.0	0.0
1.72	-0.0148650700271363	0.0	0.0
1.73	-0.0158532000644197	0.0	0.0
1.74	-0.0168397447949077	0.0	0.0
1.75	-0.0178246055649492	0.0	0.0
1.76	-0.018807683889288	0.0	0.0
1.77	-0.0197888814609109	0.0	0.0
1.78	-0.0207681001608783	0.0	0.0
1.79	-0.0217452420681364	0.0	0.0
1.8	-0.0227202094693087	0.0	0.0
1.81	-0.0236929048684674	0.0	0.0
1.82	-0.0246632309968834	0.0	0.0
1.83	-0.0256310908227522	0.0	0.0
1.84	-0.026596387560898	0.0	0.0
1.85	-0.0275590246824512	0.0	0.0
1.86	-0.028518905924502	0.0	0.0
1.87	-0.0294759352997261	0.0	0.0
1.88	-0.0304300171059833	0.0	0.0
1.89	-0.0313810559358882	0.0	0.0
1.9	-0.0323289566863503	0.0	0.0
1.91	-0.0332736245680845	0.0	0.0
1.92	-0.0342149651150898	0.0	0.0
1.93	-0.0351528841940959	0.0	0.0
1.94	-0.0360872880139767	0.0	0.0
1.95	-0.0370180831351286	0.0	0.0
1.96	-0.0379451764788154	0.0	0.0
1.97	-0.0388684753364752	0.0	0.0
1.98	-0.0397878873789916	0.0	0.0
1.99	-0.0407033206659265	0.0	0.0
2.0	-0.0416146836547142	0.0	0.0
2.01	-0.0425218852098152	0.0	0.0
2.02	-0.04342483461183	0.0	0.0
2.03	-0.0443234415665709	0.0	0.0
2.04	-0.0452176162140912	0.0	0.0
2.05	-0.0461072691376712	0.0	0.0
2.06	-0.0469923113727602	0.0	0.0
2.07	-0.0478726544158719	0.0	0.0
2.08	-0.0487482102334359	0.0	0.0
2.09	-0.0496188912705998	0.0	0.0
2.1	-0.0504846104599857	0.0	0.0
2.11	-0.0513452812303959	0.0	0.0
2.12	-0.0522008175154707	0.0	0.0
2.13	-0.0530511337622944	0.0	0.0
2.14	-0.0538961449399511	0.0	0.0
2.15	-0.0547357665480271	0.0	0.0
2.16	-0.0555699146250612	0.0	0.0
2.17	-0.056398505756941	0.0	0.0
2.18	-0.0572214570852436	0.0	0.0
2.19	-0.0580386863155222	0.0	0.0
2.2	-0.0588501117255345	0.0	0.0
2.21	-0.0596556521734159	0.0	0.0
2.22	-0.0604552271057929	0.0	0.0
2.23	-0.0612487565658385	0.0	0.0
2.24	-0.0620361612012679	0.0	0.0
2.25	-0.0628173622722739	0.0	0.0
2.26	-0.0635922816594002	0.0	0.0
2.27	-0.064360841871354	0.0	0.0
2.28	-0.0651229660527546	0.0	0.0
2.29	-0.0658785779918187	0.0	0.0
2.3000000000000003	-0.0666276021279824	0.0	0.0
2.31	-0.0673699635594561	0.0	0.0
