Displacement_0,Displacement_1,Displacement_2,Point Coordinates_0,Point Coordinates_1,Point Coordinates_2,Time
0,0,0,11.75,6.75,2.25,0
0.0041315,-3.9677e-05,-0.0025976,11.754,6.75,2.2474,0.0795095
0.015281,-0.00019181,-0.011,11.765,6.7498,2.239,0.159019
0.065501,-0.00020391,-0.018873,11.816,6.7498,2.2311,0.238529
0.14439,-0.00029453,-0.025312,11.894,6.7497,2.2247,0.318038
0.23668,-0.00014677,-0.032726,11.987,6.7499,2.2173,0.397548
0.36189,-0.00027905,-0.039277,12.112,6.7497,2.2107,0.477057
0.50657,-0.00030635,-0.045277,12.257,6.7497,2.2047,0.556567
0.66886,-0.00021685,-0.050929,12.419,6.7498,2.1991,0.636076
0.85938,-0.000225,-0.05687,12.609,6.7498,2.1931,0.715586
1.0693,-0.00016243,-0.062496,12.819,6.7498,2.1875,0.795095
1.3049,-0.00025883,-0.067742,13.055,6.7497,2.1823,0.874605
1.5593,-0.00021996,-0.073356,13.309,6.7498,2.1766,0.954114
1.8372,-0.00026137,-0.078801,13.587,6.7497,2.1712,1.03362
2.1382,-0.0002466,-0.084256,13.888,6.7498,2.1657,1.11313
2.4602,-0.00015925,-0.089568,14.21,6.7498,2.1604,1.19264
2.8065,-0.00027261,-0.094978,14.556,6.7497,2.155,1.27215
3.1723,-0.00019288,-0.10047,14.922,6.7498,2.1495,1.35166
3.5634,-0.00022699,-0.10573,15.313,6.7498,2.1443,1.43117
3.9754,-0.00027097,-0.11112,15.725,6.7497,2.1389,1.51068
4.4088,-0.00018755,-0.1165,16.159,6.7498,2.1335,1.59019
4.8671,-0.00023385,-0.12188,16.617,6.7498,2.1281,1.6697
5.3454,-0.00021291,-0.12725,17.095,6.7498,2.1228,1.74921
5.8471,-0.00023865,-0.13258,17.597,6.7498,2.1174,1.82872
6.3711,-0.00022914,-0.13798,18.121,6.7498,2.112,1.90823
6.9174,-0.00021728,-0.14333,18.667,6.7498,2.1067,1.98774
